question,answer,context,result,is_correct,model_name,correct,prediction,error,temperature
How many acting statuses are there?,SELECT COUNT(DISTINCT temporary_acting) FROM management,CREATE TABLE management (temporary_acting VARCHAR),SELECT COUNT(DISTINCT temporary_acting) AS acting_statuses FROM management,False,gpt-3.5-turbo-0125,"_col_0
     5","acting_statuses
              5",,0.0
How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM department WHERE NOT department_id IN (SELECT department_id FROM management),CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR),SELECT COUNT(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management),True,gpt-3.5-turbo-0125,"_col_0
     0","_col_0
     0",,0.0
What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes',"CREATE TABLE head (age VARCHAR, head_id VARCHAR); CREATE TABLE management (head_id VARCHAR, temporary_acting VARCHAR)",SELECT DISTINCT age FROM head WHERE head_id IN (SELECT head_id FROM management WHERE temporary_acting = 'acting'),False,gpt-3.5-turbo-0125,"age
 30
 40
 50",age,,0.0
"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id, T1.name, COUNT(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING COUNT(*) > 1","CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR, name VARCHAR)","SELECT department.department_id, department.name, COUNT(*) AS num_heads FROM department JOIN management ON department.department_id = management.department_id GROUP BY department.department_id, department.name HAVING COUNT(*) > 1;",False,gpt-3.5-turbo-0125,department_id name _col_2,department_id name num_heads,,0.0
Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id, name FROM head WHERE name LIKE '%Ha%'","CREATE TABLE head (head_id VARCHAR, name VARCHAR)","SELECT head_id, name FROM head WHERE name LIKE '%Ha%'",True,gpt-3.5-turbo-0125,"head_id name
      1 Hann
      2 Harp","head_id name
      1 Hann
      2 Harp",,0.0
How many farms are there?,SELECT COUNT(*) FROM farm,CREATE TABLE farm (Id VARCHAR),SELECT COUNT(*) FROM farm,True,gpt-3.5-turbo-0125,"_col_0
     5","_col_0
     5",,0.0
List the total number of horses on farms in ascending order.,SELECT Total_Horses FROM farm ORDER BY Total_Horses,CREATE TABLE farm (Total_Horses VARCHAR),SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,True,gpt-3.5-turbo-0125,"total_horses
          10
          15
          20
          25
          30","total_horses
          10
          15
          20
          25
          30",,0.0
"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT Hosts FROM farm_competition WHERE Theme <> 'Aliens',"CREATE TABLE farm_competition (Hosts VARCHAR, Theme VARCHAR)",SELECT Hosts FROM farm_competition WHERE Theme <> 'Aliens',True,gpt-3.5-turbo-0125,"hosts
 John
Sarah
Micha
Emily
David","hosts
 John
Sarah
Micha
Emily
David",,0.0
What are the themes of farm competitions sorted by year in ascending order?,SELECT Theme FROM farm_competition ORDER BY YEAR,"CREATE TABLE farm_competition (Theme VARCHAR, YEAR VARCHAR)",SELECT Theme FROM farm_competition ORDER BY YEAR ASC,True,gpt-3.5-turbo-0125,"theme
Lives
Crop 
Farm 
Best 
Organ","theme
Lives
Crop 
Farm 
Best 
Organ",,0.0
What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000,"CREATE TABLE farm (Working_Horses INTEGER, Total_Horses INTEGER)",SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000,True,gpt-3.5-turbo-0125,"_col_0
  13.0","_col_0
  13.0",,0.0
What are the maximum and minimum number of cows across all farms.,"SELECT MAX(Cows), MIN(Cows) FROM farm",CREATE TABLE farm (Cows INTEGER),"SELECT MAX(Cows) AS max_cows, MIN(Cows) AS min_cows FROM farm",False,gpt-3.5-turbo-0125,"_col_0 _col_1
    20      5","max_cows min_cows
      20        5",,0.0
How many different statuses do cities have?,SELECT COUNT(DISTINCT Status) FROM city,CREATE TABLE city (Status VARCHAR),SELECT COUNT(DISTINCT Status) AS num_statuses FROM city,False,gpt-3.5-turbo-0125,"_col_0
     5","num_statuses
           5",,0.0
List official names of cities in descending order of population.,SELECT Official_Name FROM city ORDER BY Population DESC,"CREATE TABLE city (Official_Name VARCHAR, Population VARCHAR)",SELECT Official_Name FROM city ORDER BY Population DESC,True,gpt-3.5-turbo-0125,"official_name
     New York
  Los Angeles
      Chicago
      Houston
      Phoenix","official_name
     New York
  Los Angeles
      Chicago
      Houston
      Phoenix",,0.0
List the official name and status of the city with the largest population.,"SELECT Official_Name, Status FROM city ORDER BY Population DESC LIMIT 1","CREATE TABLE city (Official_Name VARCHAR, Status VARCHAR, Population VARCHAR)","SELECT Official_Name, Status FROM city ORDER BY Population DESC LIMIT 1",True,gpt-3.5-turbo-0125,"official_name status
New York City Metrop","official_name status
New York City Metrop",,0.0
Show the years and the official names of the host cities of competitions.,"SELECT T2.Year, T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID","CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR); CREATE TABLE farm_competition (Year VARCHAR, Host_city_ID VARCHAR)","SELECT farm_competition.Year, city.Official_Name FROM farm_competition JOIN city ON farm_competition.Host_city_ID = city.City_ID;",True,gpt-3.5-turbo-0125,"year official_name
2020      New York
2021   Los Angeles
2022       Chicago
2023       Houston
2024         Miami","year official_name
2020      New York
2021   Los Angeles
2022       Chicago
2023       Houston
2024         Miami",,0.0
Show the official names of the cities that have hosted more than one competition.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1,"CREATE TABLE farm_competition (Host_city_ID VARCHAR); CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR)",SELECT c.Official_Name FROM city c JOIN (SELECT Host_city_ID FROM farm_competition GROUP BY Host_city_ID HAVING COUNT(*) > 1) fc ON c.City_ID = fc.Host_city_ID,True,gpt-3.5-turbo-0125,official_name,official_name,,0.0
Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,"CREATE TABLE city (City_ID VARCHAR, Population INTEGER); CREATE TABLE farm_competition (Theme VARCHAR, Host_city_ID VARCHAR)",SELECT fc.Theme FROM farm_competition fc JOIN city c ON fc.Host_city_ID = c.City_ID WHERE c.Population > 1000;,True,gpt-3.5-turbo-0125,"theme
Best 
Farm 
Lives
Agric
Crop ","theme
Best 
Farm 
Lives
Agric
Crop ",,0.0
Please show the different statuses of cities and the average population of cities with each status.,"SELECT Status, AVG(Population) FROM city GROUP BY Status","CREATE TABLE city (Status VARCHAR, Population INTEGER)","SELECT Status, AVG(Population) AS Average_Population FROM city GROUP BY Status",False,gpt-3.5-turbo-0125,"status _col_1
Active 12333.
Inacti 6500.0","status average_population
Active 12333.333333333334
Inacti             6500.0",,0.0
"Please show the different statuses, ordered by the number of cities that have each.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*),CREATE TABLE city (Status VARCHAR),"SELECT Status, COUNT(*) AS num_cities FROM city GROUP BY Status ORDER BY num_cities DESC",False,gpt-3.5-turbo-0125,"status
Inacti
Pendin
Active","status num_cities
Active          3
Inacti          1
Pendin          1",,0.0
List the most common type of Status across cities.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE city (Status VARCHAR),"SELECT Status, COUNT(Status) AS count FROM city GROUP BY Status ORDER BY count DESC LIMIT 1",False,gpt-3.5-turbo-0125,"status
Active","status count
Active     3",,0.0
List the official names of cities that have not held any competition.,SELECT Official_Name FROM city WHERE NOT City_ID IN (SELECT Host_city_ID FROM farm_competition),"CREATE TABLE farm_competition (Official_Name VARCHAR, City_ID VARCHAR, Host_city_ID VARCHAR); CREATE TABLE city (Official_Name VARCHAR, City_ID VARCHAR, Host_city_ID VARCHAR)",SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT City_ID FROM farm_competition),True,gpt-3.5-turbo-0125,"official_name
       City F
       City G
       City H
       City I
       City J","official_name
       City F
       City G
       City H
       City I
       City J",,0.0
Show the status shared by cities with population bigger than 1500 and smaller than 500.,SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,"CREATE TABLE city (Status VARCHAR, Population INTEGER)",SELECT Status FROM city WHERE Population > 1500 AND Population < 500,False,gpt-3.5-turbo-0125,"status
   Big",status,,0.0
what is id of students who registered some courses but the least number of courses in these students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY COUNT(*) LIMIT 1,CREATE TABLE student_course_registrations (student_id VARCHAR),SELECT student_id FROM student_course_registrations GROUP BY student_id HAVING COUNT(*) = (SELECT MIN(course_count) FROM (SELECT COUNT(*) as course_count FROM student_course_registrations GROUP BY student_id) as counts),False,gpt-3.5-turbo-0125,"student_id
       101","student_id
       101
       123
       202
       456
       789",,0.0
what are the first name and last name of all candidates?,"SELECT T2.first_name, T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id","CREATE TABLE candidates (candidate_id VARCHAR); CREATE TABLE people (first_name VARCHAR, last_name VARCHAR, person_id VARCHAR)","SELECT p.first_name, p.last_name FROM people p JOIN candidates c ON p.person_id = c.candidate_id",True,gpt-3.5-turbo-0125,"first_name last_name
      John       Doe
      Jane     Smith
   Michael   Johnson
     Sarah  Williams
     David     Brown","first_name last_name
      John       Doe
      Jane     Smith
   Michael   Johnson
     Sarah  Williams
     David     Brown",,0.0
List the id of students who never attends courses?,SELECT student_id FROM students WHERE NOT student_id IN (SELECT student_id FROM student_course_attendance),CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE students (student_id VARCHAR),SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),True,gpt-3.5-turbo-0125,student_id,student_id,,0.0
List the id of students who attended some courses?,SELECT student_id FROM student_course_attendance,CREATE TABLE student_course_attendance (student_id VARCHAR),SELECT student_id FROM student_course_attendance,True,gpt-3.5-turbo-0125,"student_id
      S001
      S002
      S003
      S004
      S005","student_id
      S001
      S002
      S003
      S004
      S005",,0.0
What are the ids of all students for courses and what are the names of those courses?,"SELECT T1.student_id, T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id","CREATE TABLE courses (course_name VARCHAR, course_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR, course_id VARCHAR)","SELECT student_course_registrations.student_id, courses.course_name FROM student_course_registrations JOIN courses ON student_course_registrations.course_id = courses.course_id;",True,gpt-3.5-turbo-0125,"student_id course_name
      S001 Mathematics
      S002     Physics
      S003     Biology
      S004     History
      S005 Computer Sc","student_id course_name
      S001 Mathematics
      S002     Physics
      S003     Biology
      S004     History
      S005 Computer Sc",,0.0
What is detail of the student who most recently registered course?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,"CREATE TABLE student_course_registrations (student_id VARCHAR, registration_date VARCHAR); CREATE TABLE students (student_details VARCHAR, student_id VARCHAR)",SELECT s.student_details FROM students s JOIN student_course_registrations scr ON s.student_id = scr.student_id ORDER BY scr.registration_date DESC LIMIT 1;,True,gpt-3.5-turbo-0125,"student_details
   David Wilson","student_details
   David Wilson",,0.0
How many courses do the student whose id is 171 attend?,SELECT COUNT(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,"CREATE TABLE courses (course_id VARCHAR); CREATE TABLE student_course_attendance (course_id VARCHAR, student_id VARCHAR)",SELECT COUNT(*) FROM student_course_attendance WHERE student_id = '171',False,gpt-3.5-turbo-0125,"_col_0
     0","_col_0
     5",,0.0
Find id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,"CREATE TABLE candidate_assessments (candidate_id VARCHAR, assessment_date VARCHAR)",SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,True,gpt-3.5-turbo-0125,"candidate_id
         005","candidate_id
         005",,0.0
List the id of students who registered some courses and the number of their registered courses?,"SELECT T1.student_id, COUNT(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",CREATE TABLE students (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR),"SELECT student_id, COUNT(*) AS num_registered_courses FROM student_course_registrations GROUP BY student_id",False,gpt-3.5-turbo-0125,"student_id _col_1
      S001      1
      S002      1
      S003      1
      S004      1
      S005      1","student_id num_registered_courses
      S001                      1
      S002                      1
      S003                      1
      S004                      1
      S005                      1",,0.0
What are the id of students who registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id = 301,"CREATE TABLE student_course_attendance (student_id VARCHAR, course_id VARCHAR)",SELECT student_id FROM student_course_attendance WHERE course_id = '301',False,gpt-3.5-turbo-0125,student_id,"student_id
       001
       002
       003
       004
       005",,0.0
What is the id of the student who most recently registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,"CREATE TABLE student_course_attendance (student_id VARCHAR, course_id VARCHAR, date_of_attendance VARCHAR)",SELECT student_id FROM student_course_attendance WHERE course_id = '301' ORDER BY date_of_attendance DESC LIMIT 1,False,gpt-3.5-turbo-0125,student_id,"student_id
      S001",,0.0
Find distinct cities of addresses of people?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,"CREATE TABLE addresses (city VARCHAR, address_id VARCHAR); CREATE TABLE people_addresses (address_id VARCHAR)",SELECT DISTINCT city FROM addresses JOIN people_addresses ON addresses.address_id = people_addresses.address_id;,True,gpt-3.5-turbo-0125,city,city,,0.0
Find distinct cities of address of students?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,"CREATE TABLE students (student_id VARCHAR); CREATE TABLE addresses (city VARCHAR, address_id VARCHAR); CREATE TABLE people_addresses (address_id VARCHAR, person_id VARCHAR)",SELECT DISTINCT city FROM addresses JOIN people_addresses ON addresses.address_id = people_addresses.address_id JOIN students ON people_addresses.person_id = students.student_id,True,gpt-3.5-turbo-0125,city,city,,0.0
List the names of courses in alphabetical order?,SELECT course_name FROM courses ORDER BY course_name,CREATE TABLE courses (course_name VARCHAR),SELECT course_name FROM courses ORDER BY course_name ASC,True,gpt-3.5-turbo-0125,"course_name
    Biology
  Chemistry
    History
Mathematics
    Physics","course_name
    Biology
  Chemistry
    History
Mathematics
    Physics",,0.0
List the first names of people in alphabetical order?,SELECT first_name FROM people ORDER BY first_name,CREATE TABLE people (first_name VARCHAR),SELECT first_name FROM people ORDER BY first_name ASC,True,gpt-3.5-turbo-0125,"first_name
     Alice
       Bob
   Charlie
     David
       Eve","first_name
     Alice
       Bob
   Charlie
     David
       Eve",,0.0
What are the id of students who registered courses or attended courses?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR),SELECT student_id FROM student_course_attendance UNION SELECT student_id FROM student_course_registrations;,True,gpt-3.5-turbo-0125,"student_id
      S005
      S002
      S001
      S003
      S004","student_id
      S005
      S002
      S001
      S003
      S004",,0.0
Find the id of courses which are registered or attended by student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,"CREATE TABLE student_course_attendance (course_id VARCHAR, student_id VARCHAR); CREATE TABLE student_course_registrations (course_id VARCHAR, student_id VARCHAR)",SELECT course_id FROM student_course_attendance WHERE student_id = '121' UNION SELECT course_id FROM student_course_registrations WHERE student_id = '121';,False,gpt-3.5-turbo-0125,course_id,"course_id
     C004
     C002
     C005
     C003
     C001",,0.0
What are all info of students who registered courses but not attended courses?,SELECT * FROM student_course_registrations WHERE NOT student_id IN (SELECT student_id FROM student_course_attendance),CREATE TABLE student_course_attendance (student_id VARCHAR); CREATE TABLE student_course_registrations (student_id VARCHAR),SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),True,gpt-3.5-turbo-0125,"student_id
       101","student_id
       101",,0.0
Give me the dates when the max temperature was higher than 85.,SELECT date FROM weather WHERE max_temperature_f > 85,"CREATE TABLE weather (date VARCHAR, max_temperature_f INTEGER)",SELECT date FROM weather WHERE max_temperature_f > 85,True,gpt-3.5-turbo-0125,"date
2022
2022
2022
2022","date
2022
2022
2022
2022",,0.0
What are the names of stations that have latitude lower than 37.5?,SELECT name FROM station WHERE lat < 37.5,"CREATE TABLE station (name VARCHAR, lat INTEGER)",SELECT name FROM station WHERE lat < 37.5,True,gpt-3.5-turbo-0125,"name
Stat
Stat
Stat
Stat","name
Stat
Stat
Stat
Stat",,0.0
"For each city, return the highest latitude among its stations.","SELECT city, MAX(lat) FROM station GROUP BY city","CREATE TABLE station (city VARCHAR, lat INTEGER)","SELECT city, MAX(lat) AS highest_latitude FROM station GROUP BY city",False,gpt-3.5-turbo-0125,"city _col_1
Chic     41
Hous     29
Los      34
Miam     25
New      40","city highest_latitude
Chic               41
Hous               29
Los                34
Miam               25
New                40",,0.0
Give me the start station and end station for the trips with the three oldest id.,"SELECT start_station_name, end_station_name FROM trip ORDER BY id LIMIT 3","CREATE TABLE trip (start_station_name VARCHAR, end_station_name VARCHAR, id VARCHAR)","SELECT start_station_name, end_station_name FROM trip ORDER BY id DESC LIMIT 3",False,gpt-3.5-turbo-0125,"start_station_name end_station_name
         Station A        Station B
         Station C        Station D
         Station E        Station F","start_station_name end_station_name
         Station I        Station J
         Station G        Station H
         Station E        Station F",,0.0
What is the id of the trip that has the shortest duration?,SELECT id FROM trip ORDER BY duration LIMIT 1,"CREATE TABLE trip (id VARCHAR, duration VARCHAR)",SELECT id FROM trip ORDER BY duration LIMIT 1,True,gpt-3.5-turbo-0125,"id
 5","id
 5",,0.0
What is the total and maximum duration of trips with bike id 636?,"SELECT SUM(duration), MAX(duration) FROM trip WHERE bike_id = 636","CREATE TABLE trip (duration INTEGER, bike_id VARCHAR)","SELECT SUM(duration) AS total_duration, MAX(duration) AS max_duration FROM trip WHERE bike_id = '636'",False,gpt-3.5-turbo-0125,"_col_0 _col_1
  None   None","total_duration max_duration
           195           60",,0.0
"From the trip record, find the number of unique bikes.",SELECT COUNT(DISTINCT bike_id) FROM trip,CREATE TABLE trip (bike_id VARCHAR),SELECT COUNT(DISTINCT bike_id) AS unique_bikes FROM trip,False,gpt-3.5-turbo-0125,"_col_0
     5","unique_bikes
           5",,0.0
What is the number of distinct cities the stations are located at?,SELECT COUNT(DISTINCT city) FROM station,CREATE TABLE station (city VARCHAR),SELECT COUNT(DISTINCT city) AS distinct_cities FROM station,False,gpt-3.5-turbo-0125,"_col_0
     5","distinct_cities
              5",,0.0
Return the unique name for stations that have ever had 7 bikes available.,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7,"CREATE TABLE station (name VARCHAR, id VARCHAR); CREATE TABLE status (station_id VARCHAR, bikes_available VARCHAR)",SELECT DISTINCT s.name FROM station s JOIN status st ON s.id = st.station_id WHERE st.bikes_available = 7;,True,gpt-3.5-turbo-0125,name,name,,0.0
Which bike traveled the most often in zip code 94002?,SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,"CREATE TABLE trip (bike_id VARCHAR, zip_code VARCHAR)","SELECT bike_id, COUNT(bike_id) AS total_trips FROM trip WHERE zip_code = '94002' GROUP BY bike_id ORDER BY total_trips DESC LIMIT 1",False,gpt-3.5-turbo-0125,bike_id,"bike_id total_trips
   B001           3",,0.0
"What is the latitude, longitude, city of the station from which the shortest trip started?","SELECT T1.lat, T1.long, T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1","CREATE TABLE trip (start_station_id VARCHAR, duration VARCHAR); CREATE TABLE station (lat VARCHAR, long VARCHAR, city VARCHAR, id VARCHAR)","SELECT s.lat, s.long, s.city FROM trip t JOIN station s ON t.start_station_id = s.id ORDER BY t.duration ASC LIMIT 1;",True,gpt-3.5-turbo-0125,"lat long city
29. 95.3 Hous","lat long city
29. 95.3 Hous",,0.0
What is the 3 most common cloud cover rates in the region of zip code 94107?,SELECT cloud_cover FROM weather WHERE zip_code = 94107 GROUP BY cloud_cover ORDER BY COUNT(*) DESC LIMIT 3,"CREATE TABLE weather (cloud_cover VARCHAR, zip_code VARCHAR)","SELECT cloud_cover, COUNT(*) AS count FROM weather WHERE zip_code = '94107' GROUP BY cloud_cover ORDER BY count DESC LIMIT 3",False,gpt-3.5-turbo-0125,cloud_cover,"cloud_cover count
Partly Clou     3
Mostly Clou     1
      Sunny     1",,0.0
What is the zip code in which the average mean sea level pressure is the lowest?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY AVG(mean_sea_level_pressure_inches) LIMIT 1,"CREATE TABLE weather (zip_code VARCHAR, mean_sea_level_pressure_inches INTEGER)",SELECT zip_code FROM weather GROUP BY zip_code ORDER BY AVG(mean_sea_level_pressure_inches) LIMIT 1,True,gpt-3.5-turbo-0125,"zip_code
   56789","zip_code
   56789",,0.0
What is the average longitude of stations that never had bike availability more than 10?,SELECT AVG(long) FROM station WHERE NOT id IN (SELECT station_id FROM status GROUP BY station_id HAVING MAX(bikes_available) > 10),"CREATE TABLE station (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER); CREATE TABLE status (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER)",SELECT AVG(long) AS average_longitude FROM station WHERE station_id NOT IN (SELECT station_id FROM status WHERE bikes_available > 10),False,gpt-3.5-turbo-0125,"_col_0
  36.0","average_longitude
            35.75",,0.0
On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date, zip_code FROM weather WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)","CREATE TABLE weather (date VARCHAR, zip_code VARCHAR, min_dew_point_f INTEGER)","SELECT date, zip_code FROM weather WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = '94107')",True,gpt-3.5-turbo-0125,date zip_code,date zip_code,,0.0
"For each trip, return its ending station's installation date.","SELECT T1.id, T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id","CREATE TABLE station (installation_date VARCHAR, id VARCHAR); CREATE TABLE trip (id VARCHAR, end_station_id VARCHAR)","SELECT t.id AS trip_id, s.installation_date AS ending_station_installation_date FROM trip t JOIN station s ON t.end_station_id = s.id;",False,gpt-3.5-turbo-0125,"id installation_date
10        2021-03-05
10        2021-01-15
10        2021-06-10
10        2020-11-30
10        2020-09-20","trip_id ending_station_installation_date
    101                       2021-03-05
    102                       2021-01-15
    103                       2021-06-10
    104                       2020-11-30
    105                       2020-09-20",,0.0
